"Notes"	"County"	"County Code"	Births
	"Virginia Beach city, VA"	"51810"	6110
	"Unidentified Counties, VA"	"51999"	39215
	"Benton County, WA"	"53005"	2670
	"Clark County, WA"	"53011"	5560
	"Cowlitz County, WA"	"53015"	1234
	"King County, WA"	"53033"	25487
	"Kitsap County, WA"	"53035"	3058
	"Pierce County, WA"	"53053"	11539
	"Skagit County, WA"	"53057"	1442
	"Snohomish County, WA"	"53061"	9768
	"Spokane County, WA"	"53063"	6043
	"Thurston County, WA"	"53067"	3069
	"Whatcom County, WA"	"53073"	2373
	"Yakima County, WA"	"53077"	3994
	"Unidentified Counties, WA"	"53999"	12753
	"Berkeley County, WV"	"54003"	1386
	"Kanawha County, WV"	"54039"	2068
	"Unidentified Counties, WV"	"54999"	16351
	"Brown County, WI"	"55009"	3418
	"Dane County, WI"	"55025"	6178
	"Fond du Lac County, WI"	"55039"	1080
	"Kenosha County, WI"	"55059"	1911
	"La Crosse County, WI"	"55063"	1268
	"Marathon County, WI"	"55073"	1622
	"Milwaukee County, WI"	"55079"	13915
	"Outagamie County, WI"	"55087"	2368
	"Racine County, WI"	"55101"	2400
	"Rock County, WI"	"55105"	1937
	"Sheboygan County, WI"	"55117"	1310
	"Walworth County, WI"	"55127"	1055
	"Washington County, WI"	"55131"	1381
	"Waukesha County, WI"	"55133"	3703
	"Winnebago County, WI"	"55139"	1916
	"Unidentified Counties, WI"	"55999"	21579
	"Unidentified Counties, WY"	"56999"	7765
"Total"			3978497
"---"
"Dataset: Natality, 2007-2023"
"Query Parameters:"
"Year: 2015"
"Group By: County"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: No populations shown because rates were not selected."
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality.html for more information."
"---"
"Query Date: Mar 26, 2025 7:17:26 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2007-2023, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-current.html on Mar 26, 2025 7:17:26 PM"
"---"
Messages:
"1. Rows with zero Births are hidden. Use Quick Options above to show zero rows."
"---"
Caveats:
"1. 'Missing County' appears when county data is not available for a certain year. This occurs because the county did not meet"
"minimum population standards and thus the data for the county was recoded to the ""Unidentified Counties"" category for the"
"state of the county. More information: http://wonder.cdc.gov/wonder/help/natality.html#Locations."
"2. Each birth record represents one liveborn infant."
"3. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties""."
"4. <p> As a result of population changes the following counties do not have data available for all years.<br/> Before 2014 the"
"data for the following counties was recoded to the ""Unidentified Counties"" category within the state of the county because"
"they did not meet minimum population standards. Houston County, AL (01069); Navajo County, AZ (04017); Faulkner County, AR"
"(05045); Saline County, AR (05125); Bartow County, GA (13015); Carroll County, GA (13045); Columbia County, GA (13073); Coweta"
"County, GA (13077); Douglas County, GA (13097); Fayette County, GA (13113); Forsyth County, GA (13117); Lowndes County, GA"
"(13185); Paulding County, GA (13223); Whitfield County, GA (13313); Bonneville County, ID (16019); DeKalb County, IL (17037);"
"Kendall County, IL (17093); Clark County, IN (18019); Douglas County, KS (20045); Boone County, KY (21015); Hardin County, KY"
